swift,Did I close my fist around something delicate? Did I shatter you?
swift,Do you miss the rogue who coaxed you into paradise and left you there?
nicki,"Forget Barbie, fuck Nicki, sh-she’s fake, she on a diet’, but her pockets eating cheesecake"
swift,Past the curses and cries Beyond the terror in the nightfall
nicki,Yeah my money so tall that my Barbies gotta climb it
swift,Now my eyes leak acid rain on the pillow where you used to lay your head
swift,I'd meet you where the spirit meets the bones in a faith-forgotten land
swift,Your touch brought forth an incandescent glow Tarnished but so grand
nicki,"And for your loving, I’ma die hard like Bruce Willis"
swift,"The old widow goes to the stone every day But I don't, I just sit here and wait Grieving for the living"
nicki,"I came to win, to fight To conquer, to thrive I came to win, to survive To prosper, to rise To fly"
nicki,I wish today it would rain all day Maybe that’d kinda make the pain go away.
swift,I wish to know the fatal flaw that makes you long to be magnificently cursed
swift,Now you hang from my lips like the Gardens of Babylon
nicki,Greatness is what we on the brink of
swift,"Staring out an open window, catching my death"
swift,Can't not think of all the cost and the things that will be lost
nicki,"See, we become alive in the time of fear"
swift,"In the cracks of light, I dreamed of you"
swift,How can a person know everything at eighteen But nothin' at twenty-two
nicki,"I never worry, life is a journey I just wanna enjoy the ride"
nicki,"I got a princess face, a killer body, samurai mind"
nicki,"When we come out, it look like Princess Diana on the street"
swift,The skeletons in both our closets plotted hard to fuck this up
nicki,"I just wanted memories, tried to make some with you Now I gotta erase some with you"
swift,"A dwindling, mercurial high A drug that only worked the first few hundred times"
swift,"Barefoot in the kitchen Sacred new beginnings That became my religion, listen"
swift,Familiarity breeds contempt So put mе in the basement Whеn I want the penthouse of your heart
nicki,"I fly with the stars in the skies I am no longer trying to survive, I believe that life is a prize, But to live doesn't mean you're alive"
nicki,"I get what I desire, it’s my empire And yes, I call the shots, I am the umpire"
swift,"Spiderboy, king of thieves Weave your little webs of opacity"
nicki,"And I will retire with the crown, yes No, I’m not lucky, I’m blessed, yes"
nicki,Hotter than a middle eastern climate
swift,You understand now why they lost their minds and fought the wars And why I've spent my whole life trying to put it in words.
swift,No amount of freedom gets you clean I’ve still got you all over me
nicki,"You could be the king, but watch the queen conquer"
nicki,"If I’m fake, I ain’t notice ’cause my money ain’t"
swift,While he was doing lines and crossing all of mine someone told his white collar crimes to the FBI
nicki,"Cherish these nights, cherish these people Life is a movie, but there’ll never be a sequel"
swift,"Lord, what will become of me Once I've lost my novelty?"
swift,Gold was the color of the leaves When I showed you around Centennial Park Hell was the journey but it brought me heaven
nicki,"You own my heart, he just renting"
nicki,"Bad bitches, like me, is hard to come by"
swift,No one sees when you lose when you’re playing solitaire.
nicki,"I’m not living right, I’m not living if you’re not by my side."
nicki,Bitches ain’t shit and they ain’t sayin’ nothing A hundred motherfuckers can’t tell me nothing
swift,"Sorry, I can't see facts through all of my fury"
nicki,They’ll never thank me for opening doors But they ain’t even thank Jesus when he died on the cross
nicki,Call it a curse Or just call me blessed If you can’t handle my worst You ain’t getting my best
nicki,"Truth is, we mess up ’til we get it right"
swift,You drew stars around my scars but now I’m bleeding
swift,"You said it was a great love, one for the ages But if the story’s over, why am I still writing pages?"
nicki,"People’ll love you and support you when it’s beneficial I’ma forgive, I won’t forget, but I’ma dead the issue"
nicki,These hoes couldn’t test me Even if their name was Pop Quiz
swift,"And you’ll save all your dirtiest jokes for me And at every table, I’ll save you a seat, lover"
swift,"Cause you got her on your arm and me in the wings I'll get your longing glances, but she'll get your ring"
nicki,I’m throwing shade like it’s sunny.
swift,And all of my heroes die all alone. Help me hold on to you.
nicki,"Yo, like MJ doctor, they killing me Propofol, I know they hope I fall"
swift,It takes everything in me just to get up each day But it’s wonderful to see that you’re okay
swift,I want to watch wisteria grow right over my bare feet ‘Cause I haven’t moved in years
nicki,"We dope girls, we flawless. We the poster girls for all this"
nicki,"Your whole style and approach, I invented"
swift,That night we couldn't quite forget When we decided to move the furniture so we could dance
swift,"I knew you dancing in your Levis, drunk under a streetlight"
nicki,"We fresh to death, down to the shoes."
swift,"I’m still a believer but I don’t know why I’ve never been a natural All I do is try, try, try"
nicki,"Regret in your tears, know you taste ’em"
nicki,"They say big girls don’t cry Baby, I cried"
swift,With every guitar string scar on my hand I take this magnetic force of a man to be my lover
swift,"The mischief, the gift-wrapped suburban dreams Sorry for not winning you an arcade ring"
nicki,"Let’s be real, all you bitches wanna look like me"
nicki,Face so pretty bitches wish they could slice me She just mad ’cause he never bought her ice like me
swift,"They say love's for show, but I would die for you in secret"
swift,But the monsters turned out to be just trees When the sun came up you were looking at me
nicki,"They call me Ms. Bitch, but I don’t miss, bitch"
nicki,"And when we say it’s Hot Girl Summer, we ain’t talkin’ ’bout degrees"
nicki,"I know you don’t like me, you wanna fight me Always on my page, never double-tap like me"
swift,It was the end of a decade But the start of an age
swift,"I didn't have it in myself to go with grace 'Cause when I'd fight, you used to tell me I was brave"
nicki," I write my own lyrics, a lot of these bitches gimmicks"
swift,"Just between us, did the love affair maim you too?"
nicki,"When the Queen leave, bitches wanna come out like a cockroach"
swift,"I'll get older, but your lovers stay my age"
nicki,I’m the one that they tread like tractors And still can’t catch a break like fractures
nicki,All of the Barbies is bad It girls and we ain't playin' tag
swift,"I used to switch out these Kens, I'd just ghost"
swift,You held your pride like you should have held me
nicki,"I’m a ten, so I pull in a Ken"
swift,"Took this dagger in me and removed it Gain the weight of you then lose it Believe me, I could do it"
nicki,"All these bitches beggin' me to pass the baton, All these bitches tryna fit my crown and my wand"
swift,"Clover blooms in the fields Spring breaks loose, the time is near"
swift,My castle crumbled overnight I brought a knife to a gunfight They took the crown but it's alright
swift,I once believed love would be burning red But it's golden
nicki,Usually I'm a Christian but this peace is Buddhist
nicki,"Bitches-bitches be talkin' shit, but they ain't got a pot to piss in"
swift,"Long were the nights when my days once revolved around you Counting my footsteps Praying the floor won’t fall through, again"
swift,"And all we are is skin and bone, trained to get along, forever going with the flow but you’re friction."
swift,Should've kept every grocery store receipt 'Cause every scrap of you would be taken from me
nicki,I wish I’da hugged you tighter the last time that I saw you
